Rank_2026,Rank_2025,Group_Name_Korean,Group_Name_English,Fair_Assets_KRW_Trillion,Cross_Shareholding_Restricted,Newly_Designated_2026,Notes
54,54,대방건설,Daebang Construction,,No,No,
55,55,태영,Taeyoung,,No,No,
56,56,삼천리,Samchully,,No,No,
57,53,금호석유화학,Kumho Petrochemical,,No,No,
58,57,에코프로,EcoPro,,No,No,
59,58,에이치엘,HL (formerly Halla),,No,No,
60,60,동원,Dongwon,,No,No,
61,61,대신증권,Daishin Securities,,Yes,No,
62,59,아모레퍼시픽,Amorepacific,,No,No,
63,69,엘아이지,LIG,9.1,No,No,Rose from #69; defense sector (LIG Nex1)
64,63,엠디엠,MDM,,No,No,
65,64,크래프톤,Krafton,,No,No,
66,65,글로벌세아,Global SeAH,,No,No,
67,66,비에스,BS (formerly Boseong),,No,No,
68,68,애경,AK,,No,No,
69,76,대신,Daishin,,No,No,Rose from #76; securities boom
70,70,동국제강,Dongkuk Steel,,No,No,
71,71,삼양,Samyang,,No,No,
72,72,중앙,Jungang,,No,No,
73,73,고려에이치씨,Koryo HC,,No,No,
74,74,대광,Daegwang,,No,No,
75,75,비지에프,BGF,,No,No,
76,76,반도홀딩스,Bando Holdings,,No,No,
77,77,농심,Nongshim,,No,No,Rank fell; K-food boom did not offset asset dynamics
78,78,하이트진로,Hite Jinro,,No,No,Fell ~10 spots; food/beverage sector
79,79,디엔,DN,,No,No,
80,80,신영,Shinyoung,,No,No,
81,81,현대해상화재보험,Hyundai Marine & Fire Insurance,,No,No,
82,82,파라다이스,Paradise,,No,No,
83,83,아이에스지주,IS Holdings,,No,No,
84,84,하이브,HYBE,,No,No,
85,85,한솔,Hansol,,No,No,
86,86,삼표,Sampyo,,No,No,
87,87,원익,Wonik,,No,No,
88,88,사조,Sajo,,No,No,
89,,라인,Line,,No,Yes,Newly designated; Japanese LINE Corp. Korean entity
90,,한국교직원공제회,Korea Teachers' Credit Union,,No,Yes,Newly designated
91,,웅진,Woongjin,,No,Yes,Newly designated; acquired 프리드라이프 (pre-need funeral company)
92,,쉴더스,Shilders,,No,Yes,Newly designated
93,,대명화학,Daemyeong Chemical,,No,Yes,Newly designated
94,,토스,Toss (Viva Republica),5.0+,No,Yes,Newly designated; mobile fintech platform; ranked 94th
95,,한국콜마,Korea Kolmar,,No,Yes,Newly designated; K-Beauty cosmetics and pharma contract manufacturing
96,,희성,Heesung,,No,Yes,Newly designated; precious metal industrial materials; precious metal price & FX surge
97,,오리온,Orion,,No,Yes,Newly designated; K-Food; overseas confectionery sales growth
98,,큐씨피그룹,QCP Group (formerly Kuro Holdings),,No,Yes,Newly designated
99,,일진글로벌,Iljin Global,,No,Yes,Newly designated; auto parts; FX/precious metal tailwind
100,90,빗썸,Bithumb,,No,No,
101,91,유코카캐리어스,Eukor Car Carriers,,No,No,
102,,기타,Other (approx.),,No,No,Remaining groups near minimum 5 trillion KRW threshold
